Violation Record Name,Test Score - School name,Proficiency,Violation counts,PSS Name,PSS_CITY,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_T,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT
BIG APPLE ACADEMY,BIG APPLE INSTITUTE INC,93.56%,3,, , , ,, , , , , , , , , 
BOBOVER YESHIVAH BNEI ZION,BOBOVER YESHIVA BNEI ZION,4.02%,3,, , , ,, , , , , , , , , 
MOSDOS SATMAR BP (BOYS,MOSDOS SATMAR BP,0.00%,3,, , , ,, , , , , , , , , 
OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,ST MARY OUR MOTHER SCHOOL,74.75%,3,, , , ,, , , , , , , , , 
STATEN ISLAND HEBREW PUBLIC CHARTER SCHOOL,STATEN ISLAND HEBREW,32.14%,3,, , , ,, , , , , , , , , 
YDE MIDDLE SCHOOL CONGREGATION MACHNA SHALVA,CONGREGATION MACHNA SHALVA,30.14%,3,, , , ,, , , , , , , , , 
YESHIVA DARKEI CHAIM,DARKEI CHAIM,0.00%,3,, , , ,, , , , , , , , , 
YESHIVA IMREI YOSEF SPINKA,YESHIVA IMREI YOSEF SPINKA,0.00%,3,, , , ,, , , , , , , , , 
YESHIVA JESODA HATORA,YESHIVA YESODE HATORAH,0.00%,3,, , , ,, , , , , , , , , 
YESHIVA OHR SHRAGA,CONG OHR SHRAGA D'VERETZKY,22.30%,3,, , , ,, , , , , , , , , 
YESHIVA YAGDIL TORAH,YESHIVA YAGDIL TORAH,1.12%,3,, , , ,, , , , , , , , , 
BAIS BROCHO OF KARLIN STOLIN,BAIS BROCHO-KARLIN STOLIN,42.26%,2,, , , ,, , , , , , , , , 
BAIS RUCHEL SCHOOL OF BORO PARK,BAIS ROCHEL-BORO PARK,13.15%,2,, , , ,, , , , , , , , , 
